hour,total_load_gbph
1,18.274253731343283
2,15.887748756218905
3,12.98973880597015
4,7.625932835820894
5,4.804104477611937
6,5.091728855721392
7,6.05099502487562
8,11.902985074626866
9,16.080534825870643
10,17.178171641791046
11,21.007462686567166
12,24.68439054726368
13,23.4639303482587
14,27.137748756218905
15,32.62126865671641
16,34.82587064822177
17,31.728855721393035
18,34.99999999999999
19,30.685634328358205
20,26.021455223880594
21,23.67070895522388
22,29.98756218905473
23,32.85603233830845
24,28.718905472636813
