hour,residential,office,mixed,rural
1,1.1194029850746268,0.0,0.4477611940298507,0.6716417910447761
2,0.808457711442786,0.0,0.4477611940298507,0.4850746268656716
3,0.7462686567164178,0.0,0.33582089552238803,0.4477611940298507
4,0.6467661691542288,0.0,0.12437810945273631,0.38557213930348255
5,0.4228855721393035,0.0,0.07462686567164178,0.24875621890547261
6,0.21144278606965175,0.0,0.1616915422885572,0.12437810945273631
7,0.18656716417910446,0.01243781094527363,0.21144278606965175,0.11194029850746268
8,0.2736318407960199,0.3980099502487562,0.38557213930348255,0.1616915422885572
9,0.22388059701492535,0.23631840796019898,0.6218905472636815,0.13681592039800994
10,0.2736318407960199,0.29850746268656714,0.6467661691542288,0.1616915422885572
11,0.3233830845771144,0.6218905472636815,0.7462686567164178,0.1990049751243781
12,0.3233830845771144,1.243781094527363,0.808457711442786,0.1990049751243781
13,0.3731343283582089,0.47263681592039797,0.8706467661691542,0.22388059701492535
14,0.4353233830845771,1.181592039800995,0.8955223880597014,0.26119402985074625
15,0.5472636815920398,0.9950248756218905,1.144278606965174,0.3233830845771144
16,0.5223880597014925,1.243781094527363,1.1567164179104477,0.31094527363184077
17,0.7462686567164178,0.6218905472636815,1.0945273631840795,0.4477611940298507
18,0.9950248756218905,0.12437810945273631,1.243781094527363,0.5970149253731343
19,0.9950248756218905,0.04975124378109452,1.0572139303482586,0.5970149253731343
20,0.572139303482587,0.08706467661691543,0.9825870646766168,0.3482587064676617
21,0.9825870646766168,0.01243781094527363,0.7462686567164178,0.5845771144278606
22,1.243781094527363,0.0,0.9452736318407959,0.7462686567164178
23,1.1691542288557213,0.0,1.1069651741293531,0.6965174129353234
24,1.0820895522388059,0.0,0.9452736318407959,0.6467661691542288
