hour,total_load_gbph
1,73.09701492537313
2,63.55099502487562
3,51.9589552238806
4,30.503731343283576
5,19.21641791044775
6,20.36691542288557
7,24.20398009950248
8,47.61194029850746
9,64.32213930348257
10,68.71268656716418
11,84.02985074626866
12,98.73756218905471
13,93.8557213930348
14,108.55099502487562
15,130.48507462686564
16,139.3034825928871
17,126.91542288557214
18,139.99999999999997
19,122.74253731343282
20,104.08582089552237
21,94.68283582089552
22,119.95024875621893
23,131.4241293532338
24,114.87562189054725
